team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Jaipur Pink Panthers,Telugu Titans,46,31,44,44,32,25,20,22,3,12,,,,,8,Choice of court :Left,,,Jaipur Pink Panthers
Telugu Titans,Jaipur Pink Panthers,39,39,45,46,31,28,21,22,8,10,,,,,3,Choice of court :Left,,,Match Tied
U Mumba,Dabang Delhi,29,25,43,43,21,21,9,10,11,13,,,,,2,Choice of court :Left,,,U Mumba
Telugu Titans,Bengal Warriors,44,28,47,47,35,20,19,17,4,17,,,,,4,Choice of court :Left,,,Telugu Titans
Bengal Warriors,Bengaluru Bulls,22,33,46,46,25,16,17,6,11,9,,,,,1,Choice of court :Left,,,Bengaluru Bulls
Telugu Titans,Patna Pirates,54,32,46,46,29,32,15,27,6,16,,,,,8,Choice of court :Right,,,Telugu Titans
Jaipur Pink Panthers,U Mumba,35,25,44,45,21,23,8,10,13,15,,,,,5,Choice of court :Left,,,Jaipur Pink Panthers
Telugu Titans,Puneri Paltan,29,29,45,44,23,26,14,16,10,9,,,,,7,Choice of court :Left,,,Match Tied
Dabang Delhi,Bengal Warriors,17,20,42,41,15,17,7,7,10,8,,,,,4,Choice of court :Left,,,Bengal Warriors
Patna Pirates,Bengaluru Bulls,30,28,42,43,27,12,14,7,9,14,,,,,6,Choice of court :Right,,,Patna Pirates
U Mumba,Bengal Warriors,31,17,41,41,16,20,8,15,5,11,,,,,5,Choice of court :Right,,,U Mumba
