team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Puneri Paltan,Gujarat Fortunegiants,27,37,40,40,27,23,17,11,13,10,0,1,3,0,7,Choice of court :Right,,,Gujarat Fortunegiants
Patna Pirates,Telugu Titans,32,53,46,45,25,30,19,14,18,6,0,2,0,3,8,Choice of court :Right,6,Patna Pirates,Telugu Titans
Dabang Delhi K.C.,Puneri Paltan,27,31,38,39,17,22,8,10,16,10,1,1,0,0,7,Choice of court :Left,,,Puneri Paltan
Patna Pirates,Bengaluru Bulls,41,43,41,42,29,24,18,15,10,12,1,3,2,2,1,Choice of court :Left,6,Patna Pirates,Bengaluru Bulls
Patna Pirates,Bengal Warriors,29,27,42,42,23,19,13,12,7,10,0,0,0,0,4,Choice of court :Left,6,Patna Pirates,Patna Pirates
U.P. Yoddha,Tamil Thalaivas,24,46,42,42,25,28,18,9,19,7,0,1,2,0,29,Choice of court :Right,30,U.P. Yoddha,Tamil Thalaivas
U Mumba,Patna Pirates,25,20,39,39,20,21,13,16,6,7,,,,,6,Choice of court :Left,,,U Mumba
Jaipur Pink Panthers,Gujarat Fortunegiants,25,36,44,44,20,19,12,6,15,10,0,0,3,2,31,Choice of court :Right,,,Gujarat Fortunegiants
U Mumba,Puneri Paltan,31,22,40,39,18,18,4,11,8,14,0,0,0,5,5,Choice of court :Left,,,U Mumba
U.P. Yoddha,Bengaluru Bulls,29,35,41,40,25,19,14,9,10,12,0,1,1,2,30,Choice of court :Left,30,U.P. Yoddha,Bengaluru Bulls
Dabang Delhi K.C.,Gujarat Fortunegiants,38,45,44,43,23,32,17,22,11,7,0,1,0,3,2,Choice of court :Left,,,Gujarat Fortunegiants
U.P. Yoddha,Bengal Warriors,30,30,41,41,22,24,14,17,7,9,0,1,0,0,30,Choice of court :Left,30,U.P. Yoddha,Match Tied
Jaipur Pink Panthers,Haryana Steelers,38,32,42,41,24,21,12,14,7,12,0,1,0,0,28,Choice of court :Right,,,Jaipur Pink Panthers
U.P. Yoddha,Telugu Titans,26,26,44,44,23,15,10,6,9,13,0,0,0,2,8,Choice of court :Left,30,U.P. Yoddha,Match Tied
U.P. Yoddha,Patna Pirates,41,43,44,43,20,29,13,19,11,8,1,0,0,1,30,Choice of court :Left,30,U.P. Yoddha,Patna Pirates
Haryana Steelers,Dabang Delhi K.C.,33,39,42,42,27,25,18,14,11,9,0,1,0,1,28,Choice of court :Left,,,Dabang Delhi K.C.
U.P. Yoddha,Bengaluru Bulls,27,37,43,43,27,21,16,9,13,11,0,0,1,0,30,Choice of court :Left,30,U.P. Yoddha,Bengaluru Bulls
U Mumba,Puneri Paltan,28,21,38,38,21,14,14,11,3,7,,,,,7,Choice of court :Left,,,U Mumba
U Mumba,Jaipur Pink Panthers,48,24,43,43,25,29,10,23,6,15,0,1,0,1,5,Choice of court :Left,5,U Mumba,U Mumba
Bengal Warriors,Telugu Titans,30,25,45,46,22,17,9,9,8,13,0,0,1,3,8,Choice of court :Right,,,Bengal Warriors
Patna Pirates,Bengal Warriors,50,30,43,43,29,29,15,19,10,14,0,0,1,0,6,Choice of court :Left,,,Patna Pirates
U Mumba,Gujarat Fortunegiants,36,38,43,43,32,22,19,13,10,14,0,1,1,1,5,Choice of court :Left,5,U Mumba,Gujarat Fortunegiants
U Mumba,Haryana Steelers,31,35,44,44,27,27,17,15,12,10,1,0,0,0,5,Choice of court :Left,5,U Mumba,Haryana Steelers
Puneri Paltan,Telugu Titans,25,28,41,42,19,16,13,6,10,7,0,0,3,0,8,Choice of court :Right,,,Telugu Titans
U Mumba,U.P. Yoddha,41,24,42,42,24,23,7,14,9,17,1,0,1,4,30,Choice of court :Right,5,U Mumba,U Mumba
Tamil Thalaivas,Haryana Steelers,32,32,42,41,25,19,14,10,10,12,0,0,0,0,29,Choice of court :Left,,,Match Tied
U Mumba,Bengaluru Bulls,32,29,41,40,28,18,17,14,6,13,0,2,0,0,1,Choice of court :Right,5,U Mumba,U Mumba
Patna Pirates,Dabang Delhi K.C.,38,35,41,41,28,30,19,21,9,10,2,0,0,0,6,Choice of court :Left,,,Patna Pirates
Bengal Warriors,Jaipur Pink Panthers,28,26,38,39,24,17,14,11,8,11,,,,,3,Choice of court :Left,,,Bengal Warriors
U Mumba,Tamil Thalaivas,36,22,39,38,27,18,11,13,6,17,0,0,1,0,29,Choice of court :Right,5,U Mumba,U Mumba
Gujarat Fortunegiants,Bengal Warriors,35,23,38,39,18,22,8,17,5,12,0,0,0,3,4,Choice of court :Right,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Jaipur Pink Panthers,U.P. Yoddha,45,28,50,49,26,26,7,19,9,19,0,0,0,5,3,Choice of court :Left,,,Jaipur Pink Panthers
Puneri Paltan,Bengal Warriors,22,26,44,44,18,18,12,9,10,8,0,0,0,1,4,Choice of court :Right,,,Bengal Warriors
Gujarat Fortunegiants,Bengaluru Bulls,30,30,43,43,23,24,17,15,9,7,0,0,0,1,31,Choice of court :Left,31,Gujarat Fortunegiants,Match Tied
Jaipur Pink Panthers,Bengaluru Bulls,32,45,39,38,34,24,25,15,9,9,0,2,0,0,3,Choice of court :Left,,,Bengaluru Bulls
Gujarat Fortunegiants,U.P. Yoddha,37,32,42,42,23,23,11,14,9,13,0,1,0,2,30,Choice of court :Right,31,Gujarat Fortunegiants,Gujarat Fortunegiants
Tamil Thalaivas,Telugu Titans,27,23,42,41,17,18,9,11,7,9,1,0,1,0,29,Choice of court :Left,,,Tamil Thalaivas
Gujarat Fortunegiants,Dabang Delhi K.C.,26,29,40,40,20,22,10,10,13,10,0,0,2,1,2,Choice of court :Right,31,Gujarat Fortunegiants,Dabang Delhi K.C.
Patna Pirates,Tamil Thalaivas,45,27,41,40,24,24,14,20,4,10,0,0,0,0,29,Choice of court :Left,,,Patna Pirates
U Mumba,Patna Pirates,35,32,41,41,23,23,14,17,6,9,,,,,5,Choice of court :Right,5,U Mumba,U Mumba
Bengaluru Bulls,Patna Pirates,31,26,42,41,23,20,11,12,8,12,,,,,6,Choice of court :Left,,,Bengaluru Bulls
Gujarat Fortunegiants,U Mumba,39,35,44,44,26,25,16,16,10,10,0,2,2,1,31,Choice of court :Left,31,Gujarat Fortunegiants,Gujarat Fortunegiants
